packet_number,source_mac,ssid,has_vendor_specific,is_drone_id
339,16:11:32:a5:2f:c9,,true,false
340,00:11:32:a5:2f:c9,CBJR,true,false
341,22:11:32:a5:2f:c9,CBJRGuest,true,false
342,16:11:32:a5:2f:c9,,true,false
348,00:11:32:a5:2f:c9,CBJR,true,false
349,22:11:32:a5:2f:c9,CBJRGuest,true,false
350,16:11:32:a5:2f:c9,,true,false
357,00:11:32:a5:2f:c9,CBJR,true,false
358,22:11:32:a5:2f:c9,CBJRGuest,true,false
359,16:11:32:a5:2f:c9,,true,false
368,00:11:32:a5:2f:c9,CBJR,true,false
369,22:11:32:a5:2f:c9,CBJRGuest,true,false
370,16:11:32:a5:2f:c9,,true,false
375,00:11:32:a5:2f:c9,CBJR,true,false
376,22:11:32:a5:2f:c9,CBJRGuest,true,false
377,16:11:32:a5:2f:c9,,true,false
389,00:11:32:a5:2f:c9,CBJR,true,false
390,22:11:32:a5:2f:c9,CBJRGuest,true,false
391,16:11:32:a5:2f:c9,,true,false
398,00:11:32:a5:2f:c9,CBJR,true,false
399,22:11:32:a5:2f:c9,CBJRGuest,true,false
400,16:11:32:a5:2f:c9,,true,false
403,00:11:32:a5:2f:c9,CBJR,true,false
404,22:11:32:a5:2f:c9,CBJRGuest,true,false
405,16:11:32:a5:2f:c9,,true,false
406,00:11:32:a5:2f:c9,CBJR,true,false
407,22:11:32:a5:2f:c9,CBJRGuest,true,false
408,16:11:32:a5:2f:c9,,true,false
409,00:11:32:a5:2f:c9,CBJR,true,false
410,22:11:32:a5:2f:c9,CBJRGuest,true,false
411,16:11:32:a5:2f:c9,,true,false
412,00:11:32:a5:2f:c9,CBJR,true,false
413,22:11:32:a5:2f:c9,CBJRGuest,true,false
414,16:11:32:a5:2f:c9,,true,false
415,00:11:32:a5:2f:c9,CBJR,true,false
416,22:11:32:a5:2f:c9,CBJRGuest,true,false
417,16:11:32:a5:2f:c9,,true,false
418,00:11:32:a5:2f:c9,CBJR,true,false
419,22:11:32:a5:2f:c9,CBJRGuest,true,false
420,16:11:32:a5:2f:c9,,true,false
422,00:11:32:a5:2f:c9,CBJR,true,false
423,22:11:32:a5:2f:c9,CBJRGuest,true,false
424,16:11:32:a5:2f:c9,,true,false
425,00:11:32:a5:2f:c9,CBJR,true,false
426,22:11:32:a5:2f:c9,CBJRGuest,true,false
427,16:11:32:a5:2f:c9,,true,false
428,00:11:32:a5:2f:c9,CBJR,true,false
429,22:11:32:a5:2f:c9,CBJRGuest,true,false
430,16:11:32:a5:2f:c9,,true,false
431,00:11:32:a5:2f:c9,CBJR,true,false
432,22:11:32:a5:2f:c9,CBJRGuest,true,false
433,16:11:32:a5:2f:c9,,true,false
434,00:11:32:a5:2f:c9,CBJR,true,false
435,22:11:32:a5:2f:c9,CBJRGuest,true,false
436,16:11:32:a5:2f:c9,,true,false
437,00:11:32:a5:2f:c9,CBJR,true,false
438,22:11:32:a5:2f:c9,CBJRGuest,true,false
439,16:11:32:a5:2f:c9,,true,false
440,00:11:32:a5:2f:c9,CBJR,true,false
441,22:11:32:a5:2f:c9,CBJRGuest,true,false
442,16:11:32:a5:2f:c9,,true,false
443,00:11:32:a5:2f:c9,CBJR,true,false
444,22:11:32:a5:2f:c9,CBJRGuest,true,false
445,16:11:32:a5:2f:c9,,true,false
446,00:11:32:a5:2f:c9,CBJR,true,false
447,22:11:32:a5:2f:c9,CBJRGuest,true,false
448,16:11:32:a5:2f:c9,,true,false
449,00:11:32:a5:2f:c9,CBJR,true,false
450,22:11:32:a5:2f:c9,CBJRGuest,true,false
451,16:11:32:a5:2f:c9,,true,false
453,00:11:32:a5:2f:c9,CBJR,true,false
454,22:11:32:a5:2f:c9,CBJRGuest,true,false
455,16:11:32:a5:2f:c9,,true,false
456,00:11:32:a5:2f:c9,CBJR,true,false
